Day,Time,Temp,Hum,Condition
4/29/2023,12:00 AM,86,79,No Rain
4/29/2023,12:30 AM,86,79,No Rain
4/29/2023,1:00 AM,84,84,No Rain
4/29/2023,1:30 AM,86,74,No Rain
4/29/2023,2:00 AM,84,84,No Rain
4/29/2023,2:30 AM,84,84,No Rain
4/29/2023,3:00 AM,84,84,No Rain
4/29/2023,3:30 AM,84,84,No Rain
4/29/2023,4:00 AM,84,79,No Rain
4/29/2023,4:30 AM,84,79,No Rain
4/29/2023,5:00 AM,84,79,No Rain
4/29/2023,5:30 AM,82,84,No Rain
4/29/2023,6:00 AM,84,84,No Rain
4/29/2023,6:30 AM,84,84,Clouds
4/29/2023,7:00 AM,84,84,Clouds
4/29/2023,7:30 AM,86,79,Clouds
4/29/2023,8:00 AM,88,75,Clouds
4/29/2023,8:30 AM,88,75,Clouds
4/29/2023,9:00 AM,90,66,Clouds
4/29/2023,9:30 AM,90,66,Clouds
4/29/2023,10:00 AM,90,66,Clouds
4/29/2023,10:30 AM,93,59,Clouds
4/29/2023,11:00 AM,93,56,Clouds
4/29/2023,11:30 AM,95,53,Clouds
4/29/2023,12:00 PM,95,49,Clouds
4/29/2023,12:30 PM,95,49,Clouds
4/29/2023,1:00 PM,95,49,Clouds
4/29/2023,1:30 PM,95,49,Clouds
4/29/2023,2:00 PM,93,59,Clouds
4/29/2023,2:30 PM,93,59,Clouds
4/29/2023,3:00 PM,93,59,Clouds
4/29/2023,3:30 PM,93,56,Clouds
4/29/2023,4:00 PM,93,56,Light Rain
4/29/2023,4:30 PM,91,55,Light Rain
4/29/2023,5:00 PM,90,62,Clouds
4/29/2023,5:30 PM,90,62,Clouds
4/29/2023,6:00 PM,88,70,No Rain
4/29/2023,6:30 PM,88,70,No Rain
4/29/2023,7:00 PM,88,70,No Rain
4/29/2023,7:30 PM,88,75,No Rain
4/29/2023,8:00 PM,86,79,No Rain
4/29/2023,8:30 PM,86,79,No Rain
4/29/2023,9:00 PM,86,79,No Rain
4/29/2023,9:30 PM,86,79,No Rain
4/29/2023,10:00 PM,84,84,No Rain
4/29/2023,10:30 PM,84,84,No Rain
4/29/2023,11:00 PM,84,89,No Rain
4/29/2023,11:30 PM,84,89,No Rain
4/30/2023,12:00 AM,84,89,No Rain
4/30/2023,12:30 AM,84,89,No Rain
4/30/2023,1:00 AM,84,89,No Rain
4/30/2023,1:30 AM,84,89,No Rain
4/30/2023,2:00 AM,84,89,No Rain
4/30/2023,2:30 AM,84,89,No Rain
4/30/2023,3:00 AM,84,84,No Rain
4/30/2023,3:30 AM,84,89,No Rain
4/30/2023,4:00 AM,84,89,No Rain
4/30/2023,4:30 AM,84,89,No Rain
4/30/2023,5:00 AM,84,89,No Rain
4/30/2023,5:30 AM,84,89,No Rain
4/30/2023,6:00 AM,84,84,No Rain
4/30/2023,6:30 AM,84,84,Clouds
4/30/2023,7:00 AM,84,89,Clouds
4/30/2023,7:30 AM,86,84,Clouds
4/30/2023,8:00 AM,86,79,Sun
4/30/2023,8:30 AM,88,79,Sun
4/30/2023,9:00 AM,90,75,Sun
4/30/2023,9:30 AM,90,70,Sun
4/30/2023,10:00 AM,91,66,Clouds
4/30/2023,10:30 AM,93,59,Clouds
4/30/2023,11:00 AM,91,59,Clouds
4/30/2023,11:30 AM,91,63,Clouds
4/30/2023,12:00 PM,95,56,Clouds
4/30/2023,12:30 PM,95,56,Clouds
4/30/2023,1:00 PM,95,53,Clouds
4/30/2023,1:30 PM,97,50,Clouds
4/30/2023,2:00 PM,97,50,Clouds
4/30/2023,2:30 PM,99,47,Clouds
4/30/2023,3:00 PM,95,56,Clouds
4/30/2023,3:30 PM,91,63,Clouds
4/30/2023,4:00 PM,90,66,Clouds
4/30/2023,4:30 PM,90,62,Clouds
4/30/2023,5:00 PM,88,70,Clouds
4/30/2023,5:30 PM,90,62,Clouds
4/30/2023,6:00 PM,90,66,No Rain
4/30/2023,6:30 PM,88,70,No Rain
4/30/2023,7:00 PM,88,70,No Rain
4/30/2023,7:30 PM,88,70,No Rain
4/30/2023,8:00 PM,81,89,No Rain
4/30/2023,8:30 PM,81,94,No Rain
4/30/2023,9:00 PM,82,84,No Rain
4/30/2023,9:30 PM,82,84,No Rain
4/30/2023,10:00 PM,84,74,No Rain
4/30/2023,10:30 PM,84,79,No Rain
4/30/2023,11:00 PM,84,79,No Rain
4/30/2023,11:30 PM,84,84,No Rain
5/1/2023,12:00 AM,84,84,No Rain
5/1/2023,12:30 AM,84,84,No Rain
5/1/2023,1:00 AM,84,84,No Rain
5/1/2023,1:30 AM,82,89,No Rain
5/1/2023,2:00 AM,82,89,No Rain
5/1/2023,2:30 AM,82,89,No Rain
5/1/2023,3:00 AM,82,89,No Rain
5/1/2023,3:30 AM,81,94,No Rain
5/1/2023,4:00 AM,79,94,No Rain
5/1/2023,4:30 AM,79,94,No Rain
5/1/2023,5:00 AM,79,94,No Rain
5/1/2023,5:30 AM,77,100,No Rain
5/1/2023,6:00 AM,79,89,No Rain
5/1/2023,6:30 AM,79,89,Sun
5/1/2023,7:00 AM,82,84,Sun
5/1/2023,7:30 AM,84,79,Sun
5/1/2023,8:00 AM,86,74,Sun
5/1/2023,8:30 AM,88,70,Sun
5/1/2023,9:00 AM,90,70,Sun
5/1/2023,9:30 AM,90,66,Sun
5/1/2023,10:00 AM,91,59,Sun
5/1/2023,10:30 AM,93,52,Clouds
5/1/2023,11:00 AM,93,56,Clouds
5/1/2023,11:30 AM,93,49,Clouds
5/1/2023,12:00 PM,93,52,Clouds
5/1/2023,12:30 PM,95,47,Clouds
5/1/2023,1:00 PM,97,41,Clouds
5/1/2023,1:30 PM,99,39,Clouds
5/1/2023,2:00 PM,97,41,Clouds
5/1/2023,2:30 PM,95,49,Clouds
5/1/2023,3:00 PM,97,47,Clouds
5/1/2023,3:30 PM,95,49,Clouds
5/1/2023,4:00 PM,95,49,Clouds
5/1/2023,4:30 PM,95,49,Clouds
5/1/2023,5:00 PM,93,56,Sun
5/1/2023,5:30 PM,91,59,Sun
5/1/2023,6:00 PM,90,62,No Rain
5/1/2023,6:30 PM,90,66,No Rain
5/1/2023,7:00 PM,90,62,No Rain
5/1/2023,7:30 PM,88,66,No Rain
5/1/2023,8:00 PM,86,70,No Rain
5/1/2023,8:30 PM,86,70,No Rain
5/1/2023,9:00 PM,86,74,No Rain
5/1/2023,9:30 PM,86,74,No Rain
5/1/2023,10:00 PM,86,74,No Rain
5/1/2023,10:30 PM,86,74,No Rain
5/1/2023,11:00 PM,84,79,No Rain
5/1/2023,11:30 PM,86,74,No Rain
5/2/2023,12:00 AM,86,70,No Rain
5/2/2023,12:30 AM,86,74,No Rain
5/2/2023,1:00 AM,84,79,No Rain
5/2/2023,1:30 AM,84,79,No Rain
5/2/2023,2:00 AM,84,79,No Rain
5/2/2023,2:30 AM,84,79,No Rain
5/2/2023,3:00 AM,84,79,No Rain
5/2/2023,3:30 AM,84,79,No Rain
5/2/2023,4:00 AM,84,79,No Rain
5/2/2023,4:30 AM,84,79,No Rain
5/2/2023,5:00 AM,82,84,No Rain
5/2/2023,5:30 AM,82,84,No Rain
5/2/2023,6:00 AM,84,79,No Rain
5/2/2023,6:30 AM,84,79,Clouds
5/2/2023,7:00 AM,84,79,Clouds
5/2/2023,7:30 AM,86,74,Clouds
5/2/2023,8:00 AM,88,70,Clouds
5/2/2023,8:30 AM,88,66,Sun
5/2/2023,9:00 AM,91,55,Sun
5/2/2023,9:30 AM,91,55,Sun
5/2/2023,10:00 AM,93,49,Sun
5/2/2023,10:30 AM,95,44,Sun
5/2/2023,11:00 AM,95,47,Sun
5/2/2023,11:30 AM,97,41,Sun
5/2/2023,12:00 PM,97,44,Clouds
5/2/2023,12:30 PM,97,41,Clouds
5/2/2023,1:00 PM,99,39,Clouds
5/2/2023,1:30 PM,99,39,Clouds
5/2/2023,2:00 PM,97,41,Clouds
5/2/2023,2:30 PM,99,42,Clouds
5/2/2023,3:00 PM,97,47,Clouds
5/2/2023,3:30 PM,97,44,Clouds
5/2/2023,4:00 PM,93,52,Clouds
5/2/2023,4:30 PM,93,52,Clouds
5/2/2023,5:00 PM,91,55,Clouds
5/2/2023,5:30 PM,91,55,Clouds
5/2/2023,6:00 PM,91,55,No Rain
5/2/2023,6:30 PM,90,55,No Rain
5/2/2023,7:00 PM,90,55,No Rain
5/2/2023,7:30 PM,88,58,No Rain
5/2/2023,8:00 PM,88,62,No Rain
5/2/2023,8:30 PM,88,66,No Rain
5/2/2023,9:00 PM,88,66,No Rain
5/2/2023,9:30 PM,88,66,No Rain
5/2/2023,10:00 PM,88,66,No Rain
5/2/2023,10:30 PM,86,74,No Rain
5/2/2023,11:00 PM,88,70,No Rain
5/2/2023,11:30 PM,86,74,No Rain
5/3/2023,12:00 AM,86,74,No Rain
5/3/2023,12:30 AM,86,74,No Rain
5/3/2023,1:00 AM,86,74,No Rain
5/3/2023,1:30 AM,86,74,No Rain
5/3/2023,2:00 AM,86,74,No Rain
5/3/2023,2:30 AM,86,74,No Rain
5/3/2023,3:00 AM,84,79,No Rain
5/3/2023,3:30 AM,84,79,No Rain
5/3/2023,4:00 AM,84,79,No Rain
5/3/2023,4:30 AM,84,79,No Rain
5/3/2023,5:00 AM,84,79,No Rain
5/3/2023,5:30 AM,84,79,No Rain
5/3/2023,6:00 AM,84,79,No Rain
5/3/2023,6:30 AM,86,74,Sun
5/3/2023,7:00 AM,88,70,Sun
5/3/2023,7:30 AM,86,70,Sun
5/3/2023,8:00 AM,90,62,Clouds
5/3/2023,8:30 AM,91,59,Sun
5/3/2023,9:00 AM,91,59,Sun
5/3/2023,9:30 AM,93,52,Sun
5/3/2023,10:00 AM,91,55,Sun
5/3/2023,10:30 AM,95,47,Sun
5/3/2023,11:00 AM,95,47,Sun
5/3/2023,11:30 AM,95,47,Clouds
5/3/2023,12:00 PM,95,47,Clouds
5/3/2023,12:30 PM,97,41,Clouds
5/3/2023,1:00 PM,99,42,Clouds
5/3/2023,1:30 PM,95,53,Clouds
5/3/2023,2:00 PM,97,47,Clouds
5/3/2023,2:30 PM,99,44,Clouds
5/3/2023,3:00 PM,97,47,Clouds
5/3/2023,3:30 PM,97,47,Clouds
5/3/2023,4:00 PM,97,47,Clouds
5/3/2023,4:30 PM,95,47,Sun
5/3/2023,5:00 PM,93,49,Sun
5/3/2023,5:30 PM,91,55,Sun
5/3/2023,6:00 PM,90,66,No Rain
5/3/2023,6:30 PM,88,70,No Rain
5/3/2023,7:00 PM,88,70,No Rain
5/3/2023,7:30 PM,90,62,No Rain
5/3/2023,8:00 PM,88,62,No Rain
5/3/2023,8:30 PM,88,66,No Rain
5/3/2023,9:00 PM,88,70,No Rain
5/3/2023,9:30 PM,88,70,No Rain
5/3/2023,10:00 PM,86,74,No Rain
5/3/2023,10:30 PM,86,79,No Rain
5/3/2023,11:00 PM,86,79,No Rain
5/3/2023,11:30 PM,86,79,No Rain
5/4/2023,12:00 AM,86,79,No Rain
5/4/2023,12:30 AM,86,79,No Rain
5/4/2023,1:00 AM,86,79,No Rain
5/4/2023,1:30 AM,86,79,No Rain
5/4/2023,2:00 AM,86,79,No Rain
5/4/2023,2:30 AM,84,84,No Rain
5/4/2023,3:00 AM,84,84,No Rain
5/4/2023,3:30 AM,84,84,No Rain
5/4/2023,4:00 AM,84,84,No Rain
5/4/2023,4:30 AM,84,84,No Rain
5/4/2023,5:00 AM,84,84,No Rain
5/4/2023,5:30 AM,84,84,No Rain
5/4/2023,6:00 AM,84,84,No Rain
5/4/2023,6:30 AM,84,84,Clouds
5/4/2023,7:00 AM,86,79,Clouds
5/4/2023,7:30 AM,86,79,Clouds
5/4/2023,8:00 AM,88,75,Sun
5/4/2023,8:30 AM,90,66,Sun
5/4/2023,9:00 AM,90,66,Sun
5/4/2023,9:30 AM,91,63,Sun
5/4/2023,10:00 AM,93,59,Sun
5/4/2023,10:30 AM,93,56,Sun
5/4/2023,11:00 AM,95,49,Sun
5/4/2023,11:30 AM,95,49,Clouds
5/4/2023,12:00 PM,95,47,Clouds
5/4/2023,12:30 PM,97,44,Clouds
5/4/2023,1:00 PM,97,44,Clouds
5/4/2023,1:30 PM,95,49,Clouds
5/4/2023,2:00 PM,95,53,Clouds
5/4/2023,2:30 PM,95,53,Clouds
5/4/2023,3:00 PM,95,53,Clouds
5/4/2023,3:30 PM,93,52,Clouds
5/4/2023,4:00 PM,95,49,Clouds
5/4/2023,4:30 PM,93,44,Clouds
5/4/2023,5:00 PM,91,55,Clouds
5/4/2023,5:30 PM,90,66,Clouds
5/4/2023,6:00 PM,88,70,No Rain
5/4/2023,6:30 PM,88,58,No Rain
5/4/2023,7:00 PM,88,70,No Rain
5/4/2023,7:30 PM,86,74,No Rain
5/4/2023,8:00 PM,86,79,No Rain
5/4/2023,8:30 PM,86,79,No Rain
5/4/2023,9:00 PM,86,79,No Rain
5/4/2023,9:30 PM,86,79,No Rain
5/4/2023,10:00 PM,84,89,No Rain
5/4/2023,10:30 PM,84,84,No Rain
5/4/2023,11:00 PM,84,89,No Rain
5/4/2023,11:30 PM,84,89,No Rain
5/5/2023,12:00 AM,84,89,No Rain
5/5/2023,12:30 AM,84,89,No Rain
5/5/2023,1:00 AM,84,89,No Rain
5/5/2023,1:30 AM,84,89,No Rain
5/5/2023,2:00 AM,84,89,No Rain
5/5/2023,2:30 AM,84,89,No Rain
5/5/2023,3:00 AM,84,89,No Rain
5/5/2023,3:30 AM,82,94,No Rain
5/5/2023,4:00 AM,82,94,No Rain
5/5/2023,4:30 AM,84,89,No Rain
5/5/2023,5:00 AM,82,94,No Rain
5/5/2023,5:30 AM,82,94,No Rain
5/5/2023,6:00 AM,84,89,No Rain
5/5/2023,6:30 AM,84,84,Clouds
5/5/2023,7:00 AM,84,84,Clouds
5/5/2023,7:30 AM,88,75,Clouds
5/5/2023,8:00 AM,88,75,Clouds
5/5/2023,8:30 AM,88,79,Clouds
5/5/2023,9:00 AM,90,70,Clouds
5/5/2023,9:30 AM,90,70,Clouds
5/5/2023,10:00 AM,91,63,Clouds
5/5/2023,10:30 AM,91,63,Clouds
5/5/2023,11:00 AM,93,56,Clouds
5/5/2023,11:30 AM,95,56,Clouds
5/5/2023,12:00 PM,95,56,Clouds
5/5/2023,12:30 PM,95,56,Clouds
5/5/2023,1:00 PM,95,56,Clouds
5/5/2023,1:30 PM,95,56,Clouds
5/5/2023,2:00 PM,95,56,Light Rain
5/5/2023,2:30 PM,95,59,Clouds
5/5/2023,3:00 PM,93,59,Clouds
5/5/2023,3:30 PM,91,66,Light Rain
5/5/2023,4:00 PM,93,63,Clouds
5/5/2023,4:30 PM,95,59,Clouds
5/5/2023,5:00 PM,93,63,Clouds
5/5/2023,5:30 PM,91,71,Clouds
5/5/2023,6:00 PM,91,66,No Rain
5/5/2023,6:30 PM,91,71,No Rain
5/5/2023,7:00 PM,90,79,No Rain
5/5/2023,7:30 PM,88,79,No Rain
5/5/2023,8:00 PM,88,75,No Rain
5/5/2023,8:30 PM,88,75,No Rain
5/5/2023,9:00 PM,88,79,No Rain
5/5/2023,9:30 PM,88,79,No Rain
5/5/2023,10:00 PM,86,84,No Rain
5/5/2023,10:30 PM,86,84,No Rain
5/5/2023,11:00 PM,86,84,No Rain
5/5/2023,11:30 PM,86,84,No Rain
5/6/2023,12:00 AM,84,89,No Rain
5/6/2023,12:30 AM,84,89,No Rain
5/6/2023,1:00 AM,84,89,No Rain
5/6/2023,1:30 AM,84,89,No Rain
5/6/2023,2:00 AM,84,89,No Rain
5/6/2023,2:30 AM,84,89,No Rain
5/6/2023,3:00 AM,84,89,No Rain
5/6/2023,3:30 AM,82,94,No Rain
5/6/2023,4:00 AM,82,94,No Rain
5/6/2023,4:30 AM,84,89,No Rain
5/6/2023,5:00 AM,82,94,No Rain
5/6/2023,5:30 AM,82,94,No Rain
5/6/2023,6:00 AM,84,89,No Rain
5/6/2023,6:30 AM,84,84,Clouds
5/6/2023,7:00 AM,84,84,Clouds
5/6/2023,7:30 AM,88,75,Clouds
5/6/2023,8:00 AM,88,75,Clouds
5/6/2023,8:30 AM,88,79,Clouds
5/6/2023,9:00 AM,90,70,Clouds
5/6/2023,9:30 AM,90,70,Clouds
5/6/2023,10:00 AM,91,63,Clouds
5/6/2023,10:30 AM,91,63,Clouds
5/6/2023,11:00 AM,93,56,Clouds
5/6/2023,11:30 AM,95,56,Clouds
5/6/2023,12:00 PM,95,56,Clouds
5/6/2023,12:30 PM,95,56,Clouds
5/6/2023,1:00 PM,95,56,Clouds
5/6/2023,1:30 PM,95,56,Clouds
5/6/2023,2:00 PM,95,56,Light Rain
5/6/2023,2:30 PM,95,59,Clouds
5/6/2023,3:00 PM,93,59,Clouds
5/6/2023,3:30 PM,91,66,Light Rain
5/6/2023,4:00 PM,93,63,Clouds
5/6/2023,4:30 PM,95,59,Clouds
5/6/2023,5:00 PM,93,63,Clouds
5/6/2023,5:30 PM,91,71,Clouds
5/6/2023,6:00 PM,91,66,No Rain
5/6/2023,6:30 PM,91,71,No Rain
5/6/2023,7:00 PM,90,79,No Rain
5/6/2023,7:30 PM,88,79,No Rain
5/6/2023,8:00 PM,88,75,No Rain
5/6/2023,8:30 PM,88,75,No Rain
5/6/2023,9:00 PM,88,79,No Rain
5/6/2023,9:30 PM,88,79,No Rain
5/6/2023,10:00 PM,86,84,No Rain
5/6/2023,10:30 PM,86,84,No Rain
5/6/2023,11:00 PM,86,84,No Rain
5/6/2023,11:30 PM,86,84,No Rain
5/7/2023,12:00 AM,79,100,No Rain
5/7/2023,12:30 AM,79,100,No Rain
5/7/2023,1:00 AM,79,100,No Rain
5/7/2023,1:30 AM,79,94,No Rain
5/7/2023,2:00 AM,81,89,No Rain
5/7/2023,2:30 AM,81,89,No Rain
5/7/2023,3:00 AM,79,94,No Rain
5/7/2023,3:30 AM,79,94,No Rain
5/7/2023,4:00 AM,79,100,No Rain
5/7/2023,4:30 AM,79,94,No Rain
5/7/2023,5:00 AM,79,100,No Rain
5/7/2023,5:30 AM,79,94,No Rain
5/7/2023,6:00 AM,79,100,No Rain
5/7/2023,6:30 AM,81,94,Sun
5/7/2023,7:00 AM,81,94,Sun
5/7/2023,7:30 AM,82,89,Sun
5/7/2023,8:00 AM,84,84,Sun
5/7/2023,8:30 AM,86,79,Sun
5/7/2023,9:00 AM,86,79,Sun
5/7/2023,9:30 AM,88,75,Sun
5/7/2023,10:00 AM,88,75,Clouds
5/7/2023,10:30 AM,90,70,Clouds
5/7/2023,11:00 AM,91,66,Clouds
5/7/2023,11:30 AM,91,66,Clouds
5/7/2023,12:00 PM,91,66,Clouds
5/7/2023,12:30 PM,86,84,Light Rain
5/7/2023,1:00 PM,81,94,Heavy Rain
5/7/2023,1:30 PM,81,84,Light Rain
5/7/2023,2:00 PM,79,100,Heavy Rain
5/7/2023,2:30 PM,81,94,Light Rain
5/7/2023,3:00 PM,84,84,Clouds
5/7/2023,3:30 PM,86,84,Clouds
5/7/2023,4:00 PM,84,84,Clouds
5/7/2023,4:30 PM,82,89,Light Rain
5/7/2023,5:00 PM,82,89,Rain
5/7/2023,5:30 PM,82,89,Clouds
5/7/2023,6:00 PM,81,94,No Rain
5/7/2023,6:30 PM,81,94,No Rain
5/7/2023,7:00 PM,81,94,No Rain
5/7/2023,7:30 PM,81,94,No Rain
5/7/2023,8:00 PM,81,94,No Rain
5/7/2023,8:30 PM,81,94,No Rain
5/8/2023,8:30 PM,79,94,No Rain
5/8/2023,9:00 PM,79,94,No Rain
5/8/2023,9:30 PM,81,89,No Rain
5/8/2023,10:00 PM,81,89,No Rain
5/8/2023,10:30 PM,81,89,No Rain
5/8/2023,11:00 PM,81,89,No Rain
5/8/2023,11:30 PM,81,89,No Rain
5/9/2023,12:00 AM,79,100,No Rain
5/9/2023,12:30 AM,79,100,No Rain
5/9/2023,1:00 AM,79,100,No Rain
5/9/2023,1:30 AM,79,94,No Rain
5/9/2023,2:00 AM,81,89,No Rain
5/9/2023,2:30 AM,81,89,No Rain
5/9/2023,3:00 AM,79,94,No Rain
5/9/2023,3:30 AM,79,94,No Rain
5/9/2023,4:00 AM,79,100,No Rain
5/9/2023,4:30 AM,79,94,No Rain
5/9/2023,5:00 AM,79,100,No Rain
5/9/2023,5:30 AM,79,94,No Rain
5/9/2023,6:00 AM,79,100,No Rain
5/9/2023,6:30 AM,81,94,Sun
5/9/2023,7:00 AM,81,94,Sun
5/9/2023,7:30 AM,82,89,Sun
5/9/2023,8:00 AM,84,84,Sun
5/9/2023,8:30 AM,86,79,Sun
5/9/2023,9:00 AM,86,79,Sun
5/9/2023,9:30 AM,88,75,Sun
5/9/2023,10:00 AM,88,75,Clouds
5/9/2023,10:30 AM,90,70,Clouds
5/9/2023,11:00 AM,91,66,Clouds
5/9/2023,11:30 AM,91,66,Clouds
5/9/2023,12:00 PM,91,66,Clouds
5/9/2023,12:30 PM,86,84,Light Rain
5/9/2023,1:00 PM,81,94,Heavy Rain
5/9/2023,1:30 PM,81,84,Light Rain
5/9/2023,2:00 PM,79,100,Heavy Rain
5/9/2023,2:30 PM,81,94,Light Rain
5/9/2023,3:00 PM,84,84,Clouds
5/9/2023,3:30 PM,86,84,Clouds
5/9/2023,4:00 PM,84,84,Clouds
